SessionID,ProfileName,IsOptimized,Timestamp,EventType,Payload,participant_id
5,Optimized ,True,4.387844,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.06,7.54"",""l"": ""31.87,1.60,7.17"",""r"": ""31.76,1.59,7.14""}",5
5,Optimized ,True,4.484233,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,4.595518,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.06,7.55"",""l"": ""31.87,1.59,7.16"",""r"": ""31.76,1.59,7.14""}",5
5,Optimized ,True,4.595518,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,4.70663,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,4.804026,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.06,7.55"",""l"": ""31.88,1.57,7.15"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,4.81801,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,4.929085,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,5.012445,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.54"",""l"": ""31.88,1.56,7.14"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,5.040183,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,5.15131,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,5.220983,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.54"",""l"": ""31.88,1.54,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,5.262753,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,5.373551,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,5.429364,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.54"",""l"": ""31.88,1.54,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,5.484776,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,5.59601,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,5.637792,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,5.707226,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,5.818468,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,5.846175,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,5.92945,gaze_sample,"{""target"": ""Cube""}",5
