SessionID,ProfileName,IsOptimized,Timestamp,EventType,Payload
9,Optimized ,True,0,ui_mode_change,"{""mode"": ""Wrist_Diegetic""}"
9,Optimized ,True,0,ui_mode_change,"{""mode"": ""Wrist_Diegetic""}"
9,Optimized ,True,0.2776671,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.75,0.94,7.36"",""l"": ""31.75,0.94,7.36"",""r"": ""31.75,0.94,7.36""}"
9,Optimized ,True,0.4849959,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.75,0.94,7.36"",""l"": ""31.75,0.94,7.36"",""r"": ""31.75,0.94,7.36""}"
9,Optimized ,True,0.69096,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.75,0.94,7.36"",""l"": ""31.75,0.94,7.36"",""r"": ""31.75,0.94,7.36""}"
9,Optimized ,True,0.9107956,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.75,0.94,7.36"",""l"": ""31.75,0.94,7.36"",""r"": ""31.75,0.94,7.36""}"
9,Optimized ,True,1.244129,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.07,7.35"",""l"": ""31.75,0.94,7.36"",""r"": ""31.75,0.94,7.36""}"
9,Optimized ,True,1.244129,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,1.350453,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,1.444737,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.71,2.07,7.35"",""l"": ""31.97,1.63,7.01"",""r"": ""31.77,1.78,6.97""}"
9,Optimized ,True,1.458404,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,1.567795,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,1.651121,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.71,2.07,7.35"",""l"": ""31.97,1.63,7.01"",""r"": ""31.77,1.78,6.97""}"
9,Optimized ,True,1.678456,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,1.789909,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,1.858978,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.70,2.07,7.34"",""l"": ""31.97,1.63,7.01"",""r"": ""31.77,1.78,6.97""}"
9,Optimized ,True,1.901019,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,2.012586,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,2.068093,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.68,2.06,7.34"",""l"": ""31.97,1.63,7.01"",""r"": ""31.77,1.78,6.97""}"
9,Optimized ,True,2.12365,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,2.234848,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,2.276681,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.67,2.06,7.33"",""l"": ""31.97,1.63,7.01"",""r"": ""31.77,1.78,6.97""}"
9,Optimized ,True,2.346233,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,2.457706,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,2.485579,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.65,2.06,7.33"",""l"": ""31.97,1.63,7.01"",""r"": ""31.77,1.78,6.97""}"
9,Optimized ,True,2.568454,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,2.680516,gaze_sample,"{""target"": ""room-large-variation""}"
9,Optimized ,True,2.693638,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.62,2.05,7.33"",""l"": ""31.96,1.64,7.01"",""r"": ""31.77,1.77,6.97""}"
